url,summary,length,title,reduction,keyword_count,keyword_array
http://www.bbc.com/news/business-43298897,"Too many Lego bricks is a problem many parents will sympathise with, but now the toy firm itself has admitted it has made too many. 3,700 - the number of different types of Lego bricks. In September, Lego said its half-year results had suffered because it had stretched itself too thin by diversifying into products that were not toys, such as the Lego movies.",3,Lego admits it made too many bricks,88%,12,"['Lego', 'sales', 'year', 'Too', 'bricks', 'toy', 'firm', 'performance', 'Christiansen', 'grow', 'stock', 'business']"
https://www.theverge.com/2018/2/2/16966338/elon-musk-boring-company-flamethrower-renamed-customs-scrutiny,"In nearly every respect, The Boring Company flamethrower has been one of Elon Musk's most talked-about creations just this year. Musk tweeted Friday he may be facing some headwinds in shipping a product called a ""Flamethrower,"" which appears to raise some red flags with customs agencies who oversee the important and exporting of goods. Elon Musk February 2, 2018 Already, a California state assemblyman has sought legislation to ban the sale of the Boring Company's flamethrower, citing safety concerns in the state and in the part of Los Angeles County he represents.",3,Musk plans Boring Co. flamethrower rebranding to avoid customs scrutiny,68%,12,"['flamethrower', 'Musk', 'actually', 'ship', '20,000', 'Elon', 'device', 'people', 'Company', 'called', 'customs', 'agencies']"
